author,name,desc,detail,dwnld
MasterClass.com,Бобби Браун учит макияжу и красоте (2019),"Бобби Браун научит вас советам, приемам и методам нанесения простого, естественного макияжа, который заставляет вас чувствовать себя прекрасно в своей собственной коже.
19 видео-уроков
Воркбук к курсу
Курс снабжен скачиваемым воркбуком, где содержатся основные тезисы урока и дополнительные материалы



Спойлер: Состав курса



01.Bobbi’s Beauty Philosophy
Bobbi shares her beauty philosophy: Makeup should be quick and natural, and it should enhance who you are. She explains what her class will cover and why she’ll be demonstrating on models of different ages and with a range of skin tones.
02.The Changing Face of Beauty
While makeup has been around for ages, styles are constantly changing. Bobbi discusses makeup from the 1960s to today. She talks about the origin of Bobbi Brown Cosmetics and how the face of beauty has changed through the “It” girls of the times.
03.Color and Makeup
Color is critical: It can make a statement and reveal your individuality. Bobbi discusses how color and style are key to self-expression and how undertones can help you find the right colors. She also clears up a misconception about nude makeup.
04.Inside Bobbi’s Makeup Kit
Bobbi shares the essential items in her day bag, her evening bag, and her travel bag. You’ll learn how to simplify your makeup collection and carry only the essentials for different moments of your day and life.
05.Foundation
Demonstrating on models with different skin tones, Bobbi shows you techniques for applying your foundation.
06.Using Tinted Moisturizer
When you don’t need a full face of foundation, you can use a tinted moisturizer instead. Demonstrating on a medium skin tone, Bobbi applies tinted moisturizer and shows how you can then use your foundation and concealer for touch-ups, creating a spotless look with a healthy glow.
07.Bronzer and Blush
These are Bobbi’s favorite products because they can make you look great when you’re not feeling your best. Bobbi applies bronzer and blush to three models and discusses the tools, techniques, and products used.
08.Eyes and Brows
Bobbi demonstrates how to play up your eyes and correctly fill in your brows. You’ll learn Bobbi’s tips and tricks for the eye and brow area, including which mascara color is the only one you should use.
09.Creating a Statement Lip
Demonstrating with a dark matte color, Bobbi applies a statement lip on a model and shares how you can do it, too. This application works for a classic red, a bright pink, or darker and more unforgiving colors.
10.Skincare Essentials
Bobbi breaks down today’s skincare products, from makeup removers to moisturizers, and explains which products are essential for healthy skin.
11.Workplace Makeup
As an entrepreneur and CEO, Bobbi knows how to play up her features for the workplace while still looking professional. She’ll show you how to apply a workplace-appropriate look, depending on the type of office you work in.
12.Self-Application: Day to Night
So you can learn to be your own best makeup artist, Bobbi talks a model through how to apply her own makeup, emphasizing how to choose the right colors.
13.The Perfect Smoky Eye
The smoky eye is a technique that can easily go wrong. Bobbi shows you how to apply a simple, modern smoky eye and then shows how you can play it up.
14.1-Minute Makeup
As a working artist and businesswoman, Bobbi knows how important it is to be able to do your makeup in just about a minute. She demonstrates a quick and easy look that uses only a few products.
15.Makeup Mistakes
Bobbi discusses some common makeup mistakes—including using too light of a foundation and washing out the color of your lips—and does a live demonstration of how to fix them.
16.For Aspiring Makeup Artists
Bobbi shares personal stories and lessons from her career as a makeup artist.
17.Editorial Makeup
Bobbi shows you how to experiment with bold colors and not be afraid to make mistakes or take a look too far.
18.Conclusion
Bobbi shares lessons from her decades in the beauty industry: Be on time, ask for help, and do the most you can for others. She believes in the power of hard work and determination and urges you to not give up on your passions and goals.
19.Bonus: Bobbi’s Business Philosophy
Bobbi discusses the business of beauty and offers advice for aspiring leaders. She shares lessons from her time in the boardroom, from building a team to giving a business time to grow.




Скачать:

Скрытый контент, для просмотра которого нужно лайкнуть пост.
https://yadi.sk/d/ynAQSGQg4q0WYw",,https://yadi.sk/d/ynAQSGQg4q0WYw
Kseniya Russ,Космос (2019),"Программа: 

— разбор и выбор кистей , способы очистки и правильное хранение  
— построение рисунка  
— секреты растушёвки  
— варианты работы с задним планом (техники)  
— детализация элементов  
— научимся быстро создавать нереально красивые дизайны",https://kseniyaruss.com/painting,https://cloud.mail.ru/public/2xPi/3fEoEpAkz
Роман Медный,Стилевые мелочи. Для мужчин,,style-things-man.medny.ru/,"https://cloud.mail.ru/public/ALct/METoEiJSs

Скрытый контент для авторизованных пользователей.
Пароль: me.infobit"
Kseniya Russ,Аэрография на ногтях (2019),"Программа: 

— подбор красок для работы и их различия  
— чистка и разбор аэрографа  
— основные ошибки при эксплуатации аэрографа  
— правильный угол распыления  
— работа с трафаретами  
— градиент аэрографом с правильным закреплением без сколов",https://kseniyaruss.com/painting,https://cloud.mail.ru/public/4PA2/41dn8WfEd
Андрей Аболенкин,Японская мода (2019),"Японская мода кажется нам и самой революционной, и самой традиционной одновременно. Любой причуде диковине дизайна можно без труда найти объяснение в вековой истории, но еще чудеснее их дальнейшая жизнь за морями, где об этих традициях никогда не слышали. Лекция 7 декабря посвящена поиску традиций и исторических фактов, которые помогут лучше понять японских дизайнеров, рассказу о главных именах и их влиянии на мировую моду, а также влиянии европейской и американской моды на Японию.

Это введение в тему для тех, кто всегда восхищался картинкой, но теперь хочет понять ее происхождение. Как обычно, мода у нас будет вариться в густом культурном бульоне, поэтому вопросы мы затронем самые разнообразные. Как из склеенной чашки получается национальное сокровище? Зачем самураи носили женский макияж и как повлияли на стрит-стайл? Когда лучше скрывать, чем показывать? Почему американская культовая одежда лучше сохранилась в Японии? Сколько заплат нужно для боро? Как Хиросима родила бумажных монстров? И при чем тут Боуи?",https://photoplay.ru/courses/fashion/abolenkin-lectures.html,https://cloud.mail.ru/public/448i/2DcK3JZnh
Kseniya Russ,Комбинированный маникюр (2019),"Программа:

— теоретическая часть : разбор видов Фрез и способов работы 
— основные ошибки в работе с аппаратом 
— правильная постановка руки для идеальной работы 
— секрет работы с режущим инструментом для ровного среза (щипчики) 


ВЫДАЧА СЕРТИФИКАТА В ЭЛЕКТРОННОМ ВИДЕ!",https://kseniyaruss.com/manicure,https://cloud.mail.ru/public/JZAg/5qMH8Ds3A
Екатерина Маляров,Успешный шоппинг: секреты стилиста,"От автора: 
Я разработала для Вас подробную пошаговую инструкцию, что и как делать, в какой последовательности и с наглядными примерами. Вы не только узнаете новую информацию, но с первого же дня начнете ее активно применять на практике!
Это как с изучением иностранного языка – полное погружение (активная практика) дает быстрый и максимальный результат. В результате Вы будете понимать, что именно Вам надо купить и как из этого составить комплекты.",http://www.glamurnenko.ru/products/shopping-training/,https://cloud.mail.ru/public/37EW/JL9psZWVV
Яна Панфиловская,Онлайн мастер-класс Wedding Make Up (2019),"Во время мастер-класса Вы узнаете:
1. Все секреты авторской техники в макияже Яны Панфиловской
2. Как делать трендовый макияж, который обеспечит работу на всё лето
3. Как правильно комбинировать кремовые, гелевые текстуры и карандаш
4. Особенности работы в режиме нехватки времени
Вы научитесь:
1. Делать 3 варианта макияжа, в которые влюбится любая невеста
2. Создавать эффект свежей кожи GLOW-SKIN
3. Секретам техники кошачий глаз в макияже для невест
4. Делать яркий и носибельный макияж, который не утяжелит образ клиента
5. Корректировать форму глаз, носа с учетом морфологических особенностей лица
6. Создавать идеальные пропорции построения губ
7. Делать продающий контент, сочные фотографии, работать с освещением

CLASSIC MAKE UP
Образ, который актуален вне времени!
Нежный, универсальный макияж. Выполненный в технике кошачий глаз LIGHT версия - для невест. Красивый, сексуальный, с созданием выразительного взгляда.

TREND MAKE UP
Покоряющий сердца. Сводящий с ума.
Стильный макияж с учетом современных тенденций, с использованием косметических новинок.

EXPRESS MAKE UP
Как всё успеть,если невеста опаздывает? С чего начать, если невесту задержали на прическе? Макияж за 30 минут! Освежающий, воздушный макияж, с использованием экспресс-средств, которые долго и стойко держатся.",http://panfilovskaya.ru/,https://cloud.mail.ru/public/4V6B/2gqXjsNq8
Юлия Катькало,Гид по сумкам (2020),,https://online.juliacatcalo.com/landing/bags-guide-2020,https://cloud.mail.ru/public/3h4s/XGvFk7ZFw
Вика Алипова,Комби маникюр (2019),"Хочешь научиться делать такой же чистый маникюр?
⠀
У меня для тебя хорошая новость! Потому что прямо сейчас ты можешь узнать все мои секреты в работе
⠀
Я сняла мощнейший видео курс, где я показываю, как сделать идеальный маникюр с помощью одной фрезы и кусачек
⠀
Программа курса:
•Какими инструментами я пользуюсь/расходники/любимые магазины/оборудование
•Любимые базы и топы/Как подобрать базу клиенту, чтобы держалось
•Теория техники
•Практика
•Снятие материала без жжения и вреда для нп
•Опил формы ‘миндаль’
•Техника комби маникюра одной фрезой +кусачки без ремувера и замачивания ‍♀️
•Ремонт трещин акригелем
•Укрепление ногтей
•Выравнивание
•Покрытие под кутикулу
БОНУС
+мк легкого геометрического дизайна (секрет тонких линий)
+мк по фото и обработке фото
⠀
Когда?
Когда тебе удобно! МК проходит в IG TV на странице @alipova.mk.man
Это очень удобный формат, тк:
-вам не надо выделять день для просмотра мк
-вы можете смотреть видео в любое время суток
-мк разделён на много 10ти - минутных видео, чтобы вам было удобнее смотреть
-продолжительность мк - 2ч20мин
-доступ к просмотру НАВСЕГДА",http://instagr.am/p/B1hcoF8It0C/,https://cloud.mail.ru/public/28UF/21YgA4ZXa
"ParisNail, Екатерина Туркеева",Все возможности базы с акрилом (2020),"- Вы не делаете наращивание, клиенты приходят к вам только на гель-лак, и вас охватывает паника, если клиентка пришла со сломанным ногтем?
- Вы не любите работать с трамплинообразными ногтями и сложными архитектурами, потому что они после выравнивания выглядят плюшками? Вы не нашли удобный способ корректировать скрученность или клюющие ногти?

- Вам сложно выравнивать длинные ногти? Вы не знаете, как подпилить и вернуть ноготь на ось пальца, если он растет в сторону?

Вебинар ответит на все эти и любые другие вопросы, связанные со сложными архитектурами, сложным выравниванием, ремонтом, донаращиванием, укреплением и многими другими проблемами, с которыми сталкивается каждый мастер!

База с акрилом – то самое чудесное средство от всех бед!

Екатерина научит вас работать им действительно грамотно: 1 ноготь – 1 минута!

• Вебинар
• Длительность: 6 часов

Чему Вы научитесь?

• Определение жесткости базы, ее назначения (для каких ногтей подходит) и возможности использования с акрилом;
• Адгезия и когезия, или почему база с акрилом может отслаиваться;
• Определение нужной пропорции смешивания базы с акрилом;
• Пропорции для укрепления и для донаращивания, ремонта, коррекции архитектуры;
• Скрученность одной стенки на квадратной форме;
• Скрученность одной стенки на миндальной или овальной форме;
• Скрученность обеих стенок, восстановление боковых параллелей;
• Узкая арка у кутикулы, широкая в точках вроста (исправление трапеции);
• Укрепление длинных ногтей с сохранением тонкого торца;
• Выравнивание сильно деформированной короткой пластины без эффекта «плюшки»;
• Выравнивание сильных деформаций в несколько этапов перед основным выравниванием;
• Достраивание арки в высоту (создание поперечной арки) на широких плоских ногтях;
• Поднятие клюющего края;
• Донаращивание недостающего угла или края на длинном ногте;
• Донаращивание недостающего кусочка, когда ноготь короткий (наращивание на подушечку пальца);
• Донаращивание недостающей стенки, когда она перепилена, расковыряна, сгрызана;
• Укрепление тонких от природы ногтей;
• Укрепление ногтей после сорванного покрытия;
• Выравнивание трамплинообразных ногтей;
• Выравнивание растущего в сторону ногтя, коррекция оси ногтя относительно оси пальца;
• Ремонт маленькой трещины (1-1.5 мм);
• Ремонт крупной трещины;
• Донаращивание на форме, даже если она стоит некорректно (криво, с зазором под свободным краем или не прилегает к точкам вроста).
Практика
Практическая отработка курса демонстрируется на 10 моделях!",https://parisnail.ru/school/onlayn-obuchenie/01-10057647_vse_vozmozhnosti_bazy_s_akrilom/,https://cloud.mail.ru/public/5HSf/2T7KUJATx
Стелла Клар,Имидж и стиль. Основы,,http://video.stellaclar.com/imidzh-i-stil/,https://cloud.mail.ru/public/DhCm/YhQSXTCzS
ParisNail,Влияние базы на ногтевую пластину (2019),"Устали бороться с онихолизисом? База печет? В поиске гипоаллергенных материалов? Вас замучил дерматит? Тогда этот вебинар для вас!

Длительность курса: примерно 1,5 часа.
Преподаватель: Ксения Ткачук.

Программа курса
• Виды баз.
• Плюсы и минусы жестких баз.
• Особенности работы с данными базами.
• Портит ли База ногтевую пластину.
• Состав материала.
• Вредные компоненты.
• Скручивание ногтевой пластины-кто виноват?
• Влияют ли Базы на появление онихолизиса.
• Ожоги ногтевой пластины.",https://parisnail.ru/school/onlajn-kursy-po-manikyuru/vebinar-vliyanie-bazy-na-nogtevuyu-plastinu-/,https://cloud.mail.ru/public/2RWd/4JmxSwpuX
