author,name,desc,detail,dwnld
Лашманова Елена,"Экшены ""ШОКОЛАД""",,,https://yadi.sk/d/HawEyGWjrIjaUw
Serge Ramelli,Lightroom Brush Presets Landscapes,,https://www.photoserge.com/lightroom-brush-presets-landscapesrush-presets-landscapes,https://cloud.mail.ru/public/FNFT/5tarcT6jU
,Beauty Retouching Kit Pro,,https://creativemarket.com/Photoshop-Store/122501-Beauty-Retouching-Kit-Pro,https://cloud.mail.ru/public/48mS/2a2SS5SnQ
[ VIA Photo ]Вячеслав Васильев,[ VIA Photo ] - Осенние пресеты,,https://viaphoto.ru/osen,https://cloud.mail.ru/public/5WDj/eQjALJ7Na
СТАС ШМЕЛЬ,"""УСКОРЬ СВОЮ РЕТУШЬ ДО МАКСИМУМА""",,http://shmeliys.ru,https://cloud.mail.ru/public/4tLs/2MTEFcfsR
But Natural Photography,Коллекция экшенов Fine Art (2020),"Этот замечательная Fine Art коллекция состоит из следующих экшенов:

1) Эффект свечения кожи и заднего плана
2) Размытие заднего плана
3) Имитация солнечного света
4) Прорисовка Dodge and Burn
5) Прорисовка глаз
6) Румяные щечки
7) Ретушь кожи (метод Hi-end) 
8) Умная детализация

Изначально эта коллекция была создана для ускорения моей работы, но мне поступало очень много вопросов по поводу моей обработки, поэтому я решила их выставить их на продажу. Теперь Вы можете создавать красивые художественные фотооткрытки менее чем за 10 минут. К пакету экшенов так же идет краткая видеоинструкция, для демонстрации процесса обработки фотографий. Она поможет Вам понять лучше ход обработки. После покупки Вы можете загрузить их на Ваш компьютер. После загрузки Вам нужно просто кликнуть дважды по atn файлу и они автоматически  отобразятся в меню Photoshop. Если данный способ не сработал -  Ctrl и нажатие правой кнопкой мышки на файл, а затем выбрать клавишу 'открыть с помощью  Photoshop'.  Данный пакет экшенов совместим с версиями  СS5, СS6 и CC.",https://butnaturalphotography.com/presets-and-action-pack/,https://cloud.mail.ru/public/2wsy/46XvN3b4L
Pro Add-Ons,Ultimate Retouch Panel 3.7.59,,https://www.behance.net/gallery/35751737/Ultimate-Retouch,Ссылка на облако
Лена pinnywooh,28 пресетов для создания идеальной ленты Essentials (2020),"Essentials переводится как ""предметы первой необходимости"", и этот набор пресетов - самое первостепенное, что вам нужно для создания гармоничного цепляющего визуала.

28 пресетов я разделила на 6 групп:
- городские
- пейзажные
- домашние
- уютные
- розовые блогерские
- яркие",http://pinnywooh.roadsidetales.ru/essentials,https://cloud.mail.ru/public/3JFC/4hgCGmotK
greaterthangatsby,Коллекция экшенов The Three Nails Collection Photoshop,,http://www.greaterthangatsby.com/the-three-nails-collection/,"https://yadi.sk/d/iLcyEmZAgPri6



			Пароль: RSc3ofhLqg
		
Нажмите для раскрытия..."
Via Photo,Яркие пресеты для инстаграм (2019),"Набор из 9 красочных пресетов, которые &quot;оживят&quot; любую фотографию! В наборе есть как самые естественные, чистые цвета, так и эффектные сочетания. Настроены таким образом, чтобы достать сочные оттенки из любых, даже самых скучных на первый взгляд фото!
Посмотрите видео с процессом обработки: 





Эти пресеты для вас, если вы:

• Не умеете обрабатывать, а красивые фото хочется
• Не хотите тратить время на обработку, и деньги на курсы. Это уже готовая профессиональная обработка!
• Блогер и хотите красочный разнообразный профиль
• Фотограф и хотите обрабатывать фотосет буквально за час; или прямо на съемке удивить клиентов обработанными фото",https://viaphoto.ru/newpreset,
,Наталья Блицена 32 экшена,,https://skladchik.com/threads/32-экшена-photoshop-бонус-Видео-урок-Авторская-ретушь.72154/,https://cloud.mail.ru/public/2Njr/55iXjSE7C
Наталья Блицена,Экшены для фотошоп Juicy Colors (Наталья Блицена),,,https://cloud.mail.ru/public/H2tv/yNRK2bTvz
