author,name,desc,detail,dwnld
Петрухин,Веб-разработчик (2019),,https://inordic.ru/courses/web-development,https://cloud.mail.ru/public/55WN/27GRgGZG9
HTML Academy,"Профессиональный онлайн‑курс HTML и CSS, уровень 1 (2020)","На этом курсе вы научитесь делать настоящие проекты, такие же по уровню сложности, как в индустрии. И будете делать их правильно, чтобы после обучения выдавать результат высокого уровня, за который компании готовы платить.

Продолжительность: 23:47:46
Качество видео: PCRec

Видео: AVC/H.264, 1280x1080, ~612-1005 Kbps
Аудио: AAC, 2 ch, 253 Kbps",https://htmlacademy.ru/intensive/htmlcss,https://cloud.mail.ru/public/3r5F/38e3ZENnw
Михаил Русаков,Создание и раскрутка сайта от А до Я,,https://srs.myrusakov.ru/kurs,https://cloud.mail.ru/public/3uTX/ZPH4opT1g
Артём Исламов,[Академия верстки Glo Academy] Первый сайт за 3 дня (2020),,"https://glo.academy
Макет на фигме - https://www.figma.com/file/n1f7ZhSRPDOZiYHq1s6bCd/My-First-Site-(Copy)",https://cloud.mail.ru/public/5968/NTbNVqw1p
Харюков Сергей,Тильда Мастер. (Выжимка. Траскрибация),,,https://cloud.mail.ru/public/3jeu/3CjsgZxwT
Максим Ширко,Практический курс по созданию сайтов на Tilda (2020),"За 3 недели вы научитесь самостоятельно разрабатывать аккуратные и полезные сайты, лендинги, интернет-магазины. 
• Уже после первой недели разберетесь с платформой и сможете сделать лендинг и технические настройки.
• На второй научитесь делать сложные сайты.
• После третьей прокачаете навыки дизайна и научитесь делать сайты аккуратными и удобными.

+ Блок по основам веб дизайна из 19 уроков в подарок! 

Изучение — Тильды этапами

Уже после первой недели разберетесь с платформой и сможете сделать лендинг и технические настройки. На второй научитесь делать сложные сайты. После третьей прокачаете навыки дизайна и научитесь делать сайты аккуратными и удобными.

1 неделя. Изучение платформы

Вы изучите все настройки и тонкости Тильды на уровне блоков, страниц и всего сайта. Научитесь самостоятельно делать базовую SEO-оптимизацию и техническую подготовку перед запуском.

— Базовые функции
— Стандартные блоки
— SEO настройки
— Базовая Анимация

2 неделя. Продвинутые функции

Разберетесь, как создавать магазины с сотнями товаров и управлять позициями. Научитесь создавать личные кабинеты, блоги и медиа, работать с заказами во встроенной CRM, делать красивые email рассылки внутри Тильды.

— Интернет-магазины
— Личные кабинеты
— CRM и Рассылки
— Тонкие настройки

3 неделя. Дизайн и Zero Block

На примерах расскажем базовые принципы веб-дизайна и объясним, как искать ошибки в верстке. Научим создавать блоки с уникальным дизайном и анимацией во встроенном профессиональном редакторе Zero Block.

— Уникальные блоки
— Адаптивный дизайн
— Пошаговая анимация
— Свой дизайн",https://tildoshnaya.pro/start#curators,https://cloud.mail.ru/public/4zja/2PEdtLJNh
,Курсы с сайта BEONMAX (2020),,https://beonmax.com/,"Скачать Torrent - файл-     https://cloud.mail.ru/public/8j9k/56LWwC2dU
И ссылка на облако https://cloud.mail.ru/public/6rLG/2S71UZkq7"
Андрей Гаврилов,Веб-дизайнер: Счастливый билет в Таиланд,,https://wayup.in/library/course4,https://cloud.mail.ru/public/2vsM/34hGgq8pf
Сергей Харюков,Тильда-мастер 2.0 (2020),"Научитесь упаковывать бизнесы и разрабатывать лендинги на Tilda с нуля. 18 модулей программы, база ресурсов для работы и домашнее задание.

Модуль №1. Вводное занятие

Кто я?
Мой опыт работы с Тильдой.
Как изучать курс?
Что такое Landing Page?
Место лендинга в лидгене
Треугольник конверсии
Хорошие и плохие лендинги
Типы лендингов
Сколько стоят лендинги?
Сколько можно заработать на лендингах?
Алгоритм разработки лендинга
В результате: Поймете что такое правильный лендинг, зачем он нужен, общий принцип разработки лендингов.


Модуль №2. Анализ компании

Виды прототипов
Зачем нужен анализ компании?
Вопросы для анализа
Форматы брифа
Собираем смыслы
В результате: Научитесь в короткое время анализировать компанию, находить и фильтровать смыслы, которые послужат основой копирайтинга


Модуль №3. Анализ целевой аудитории

Зачем анализировать ЦА
Алгоритм анализа ЦА
Правило 80/20
Сегментирование ЦА
Метод 5W
Метод персонажей
Особенности персонажа
В результате: Научитесь находить и анализировать целевую аудиторию. Вы будете понимать кому продать и как продавать.


Модуль №4. Анализ конкурентов

Зачем анализировать конкурентов
Виды конкурентов
Поиск прямых и косвенных конкурентов
Анализ прямых и косвенных конкурентов
Анализ непрямых конкурентов
В результате: Научитесь находить и анализировать конкурентов. Поймете как делать отстройку от конкурентов и иметь перед ними преимущество.


Модуль №5. Уникальное торговое предложение (УТП)

Зачем разрабатывать УТП
Состав УТП
Примеры УТП
Уровни принятия решений
Формулы разработки УТП
Заголовки по методу 4U
Правила разработки УТП
Призыв к действию (CTA)
Примеры CTA
В результате: Научитесь создавать уникальное торговое предложение и призывы к действию.


Модуль №6. Анатомия лендинга — всё о блоках

Первый экран
Конверсионные блоки
Блоки презентации
Блоки доверия
Технические блоки
В результате: Получите целую библиотеку блоков, из которых создается конверсионный лендинг.


Модуль №7. Разработка прототипа

Зачем разрабатывать прототип? Виды прототипов
Сбор и распределение смыслов
Формирование продающей структуры
Копирайтинг
Прототип-эскиз
В результате: Научитесь создавать прототипы продающих лендингов.


Модуль №8. Композиция в дизайне

Задачи дизайна
Правило 6 секунд
Свойства качественного дизайна LP
Задача композиции в лендингах
8 правил композиции в лендингах
В результате: Будете понимать, что такое качественный дизайн лендинга.
Разберетесь с правилами композиции в лендингах. Больше Ваши сайты не будут «кривыми».


Модуль №9. Вёрстка текста и типографика

Задачи типографики
Подбор шрифтовой пары
Шрифтовые пары, которые я использую
Оптимальные размеры шрифтов
10 правил верстки текстов
В результате: Научитесь подбирать шрифты для лендинга, узнаете оптимальные размеры заголовков, текстов. Научитесь верстать текст, чтобы он был аккуратным, читабельным и красивым.


Модуль №10. Подбор цветов

Задачи цвета
Критерии подбора цвета
Типы сайтов по цветам
Состав цветовой палитры
Психология цвета
Подбор цветов для лендинга
В результате: Научитесь подбирать гармоничные цвета для лендинга.


Модуль №11. Графика для лендинга

Задачи графики
Типы графики
Навыки работы с графикой
Подбор фотографий + источники + формат
Подбор иллюстраций + источники + формат
Мокапы для лендинга
Подбор иконок + источники + формат
Как экономить на платной графике?
В результате: Научитесь подбирать графику для лендинга.


Модуль №12. Подготовка к дизайну

Принципы дизайна
Европейский дизайн или наш?
Мой рецепт дизайна лендинга
Поиск вдохновения, референсы
Модульная сетка
Дизайн-редакторы
Как учиться дизайну
В результате: Узнаете секрет продающего дизайна лендинга, который можно делать быстро и легко.


Модуль №13. Устройство Тильды

Личный кабинет
Настройки профиля
Тарифы
Партнерская программа
Tilda CRM
Справочный центр
Tilda Experts
Интерфейс проекта
Обзор библиотеки блоков
Структура блока и управление
Настройки сайта
Настройки страницы
Начальная настройка проекта
В результате: Разберетесь в устройстве Тильды.


Модуль №14. Лендинг из стандартных блоков

Плюсы и минусы
Ситуации применения
Пример сборки лендинга
В результате: Соберете свой лендинг из стандартных блоков Тильды

Модуль №15. Устройство Zero Block

Интерфейс Zero-редактора
Модульная сетка
Экраны адаптивности
Элементы Zero block
Настройки артборда
— Grid Container
— Window Container
— Размер и настройка контейнеров
— Видимые и невидимые области
— Варианты overflow
— Фон, background
Настройки элементов
— Настройка типографики
— Настройка изображений
— Настройка фигур
— Настройка кнопок
— Настройка видео
— Настройка tooltip
— Работа с html-кодом
— Настройка форм
Горячие клавиши
Ограничения Zero-редактора
В результате: Разберетесь с устройством Zero Block редактора


Модуль №16. Дизайн лендинга в Zero Block

Задачи модуля
Разработка дизайна в Zero Block на практике
В результате: Создадите дизайн своего лендинга в Zero Block.


Модуль №17. Адаптивность дизайна

Анимация на лендинге
Мои принципы анимации лендинга
Диапазоны видимости блоков
Адаптация стандартных блоков
Правила и приемы адаптации Zero-block
Пример адаптации Zero-Block
В результате: Научитесь адаптировать дизайн под планшеты и смартфоны

Модуль №18. Настройка и запуск лендинга

Алгоритм настройки страницы
Алгоритм настройки сайта
Запуск лендинга
В результате: Научитесь настраивать и запускать лендинг",http://tilda-bro.tilda.ws/,https://cloud.mail.ru/public/AScx/AQUkypzp5
Артем Исламов,WordPress 1.0 (2019),"Освойте одну из самых популярных CMS и научитесь создавать от простых одностраничных сайтов с админкой до больших корпоративных сайтов и порталов.

Программа курса:

- Настройка рабочего пространства
- Установка Wordpress. Обзор админ панели
- Создание темы WordPress
- Настройка рабочего пространства
- Регистрация меню в WordPress
- Сайдбары
- Вывод постов
- Еще раз про Хуки. Шорткоды
- Шаблоны постов и страниц",https://study.up-skills.ru/wordpress,https://yadi.sk/d/pysopOF5A1r0SA
