author,name,desc,detail,dwnld
Joe Chellman,Изучение языка JavaScript / Learning the JavaScript Language (2019) [EN],"JavaScript является языком общения в Интернете, но прежде чем использовать его для создания динамических сайтов, вам необходимо понять, как он работает. В этом учебном курсе Джо Челлман исследует синтаксис языка JavaScript.

Продолжительность: 02:53:35
Качество видео: PCRec
Перевод: Отсутствует
Язык озвучки: Английский

Видео: AVC/H.264, 1280x720, ~27-482 Kbps
Аудио: AAC, 2 ch, 128-160 Kbps

JavaScript является языком общения в Интернете, но прежде чем использовать его для создания динамических сайтов, вам необходимо понять, как он работает. В этом учебном курсе Джо Челлман исследует синтаксис языка JavaScript. Он показывает, как ""говорить"" на JavaScript, приобретая понимание переменных, типов, объектов, массивов, операторов, управляющих структур, циклов и функций, с помощью серии практических примеров, которые воплощают эти идеи в жизнь.
После прохождения этого курса большинство разработчиков поймут основной синтаксис JavaScript и то, как этот язык сценариев работает для создания мощной и сложной функциональности в сети Интернет.

Темы курса включают в себя:
- Использование текстового редактора
- Объявление переменных и присвоение значений
- Булевы переменные
- Работа с объектами и массивами
- Использование операторов и структур управления
- Итерация с циклами
- Объекты, ссылки и функции
- Асинхронный JavaScript (Promises, Async, Await)",https://www.lynda.com/JavaScript-tutorials/Learning-JavaScript-Language/782146-2.html,https://cloud.mail.ru/public/4wpW/wpNkiwRCW
Lynda,Premiere Pro CC. Основной Курс + Бонусы,,,https://cloud.mail.ru/public/4o8q/4Z7M4ukhg
Lynda.com,Доведение дел до конца / Getting Things Done [2015],"Присоединитесь к автору и всемирно известному эксперту продуктивности и тайм-менеджмента, Дэвиду Алену. Он познакомит вас со своим пятиступенчатым курсом Getting Things Done (Доведение дел до конца). Он покажет вам, как справиться с работой наилучшим образом и не увязнуть в ней, в поисках времени для более значимых вещей в вашей жизни. Узнаете, как собирать, обрабатывать, организовывать, воспроизводить, и взаимодействовать с задачами, которые требуют вашего внимания, при этом оставаться с ясной головой и четкой ориентацией.",http://skladchik.com/threads/lynda-com-Доведение-дел-до-конца.39016/,https://cloud.mail.ru/public/5viA/Hssp9JtfK
Lynda.com,Из Фотографии в Картину (Photoshop CS6),,,https://mega.nz/#F!Zc5F0YIT!-eHd6KJwopUMRRR1PdFWsQ
Lynda.com - Эрин Мэннинг,Как работать со светом: студийное освещение и вспышка (2017),"Присоединяйтесь к ведущему фотографу Эрин Мэннинг, она ознакомит начинающих фотографов с основными приемами работы со студийным освещением. Эрин рассказывает о двух видах искусственного освещения: фотовспышке и студийном стробоскопе и показывает как создать непрерывное освещение, а затем объясняет ключевые понятия такие, как коэффициенты освещения.

Она также делится советами о том, как получить наилучшие результаты от вспышки фотокамеры и сделает фотографии для следующего уровня с внешней вспышкой.",https://www.lynda.com/Photography-tutorials/Up-Running-Lighting-Studio-Lights-Flash/122452-2.html,https://cloud.mail.ru/public/56Hw/4cjs5Ucg7
Lynda.com,Решение бизнес проблем,,,"https://mega.nz/#!uRZlHSoY!3V6rO5LhcaAivqVGm2DjwtHkHds9yojywwahMSCQa58



			Пароль: sk.INside
		
Нажмите для раскрытия..."
Lynda,Lynda - DaVinci Resolve 12 Essential Training + Advanced Color Grading (RUS),,https://www.lynda.com/,https://yadi.sk/d/MVjAUGl3ym9fqw
Lynda.com,Основы бизнес-общения,,http://www.lynda.com/Business-Business-Skills-tutorials/Communication-Fundamentals/141501-2.html,"https://cloud.mail.ru/public/5DUC/YJnEWpcD8



На данный момент материал заблокирован. По мере возможности постараемся обновить ссылку."
Lynda.com,Фотошоп для Веб дизайна,,https://skladchik.com/threads/Повтор-lynda-com-Фотошоп-для-Веб-дизайна-На-Русском.28858/#recent-actions,https://yadi.sk/d/SOZY-e2YgTayXg
Lynda.com,спешное собеседование,"В этом курсе мы рассмотрим, как пройти собеседование и получить работу своей мечты. Автор Валери Саттон расскажет об уловках работодателей и как их обойти, даст рекомендации о манере поведения на собеседовании и подготовит вас к часто задаваемым вопросам.

Вы будете готовы к собеседованию после выполнения упражнений, которые также включены в курс .

Валери Саттон - ведущий специалист по карьерному росту. Она является директором Career Services Office, которая ежегодно помогает 900 студентам Гарвардской Высшей Школы правильно построить свою карьеру. Имеет 3 высших образования и несколько специальностей в сфере карьерного развития.
Ставит своей целью научить людей брать инициативу в свои руки, чтобы построить успешную карьеру!",http://www.lynda.com/Business-Skills-tutorials/Acing-Your-Interview/103614-2.html,https://cloud.mail.ru/public/5ADH/8GvKPAYHQ
